,product ,value,message_type,amount,operation,random_val_op,adjusted_value,total_value
0,Pokemon Sword ,60.0,3,4,Subtract,4,56.0,224.0
1,Spyro Reignited Trilogy,34.99,1,1,,,,34.99
2,Hollow Knight,10.99,1,1,,,,10.99
3,Mario Kart,49.99,3,6,Subtract,5,44.99,269.94
4,The Witcher III: The Wild Hunt,34.99,2,5,,,,174.95000000000002
5,Hollow Knight,10.99,1,1,,,,10.99
6,Untitled Goose Game ,17.99,3,2,Add,1,18.99,37.98
7,Pokemon Sword ,60.0,1,1,,,,60.0
8,Cat Quest ,9.99,3,7,Add,1,10.99,76.93
9,Super Mario Maker 2,32.29,3,8,Add,4,36.29,290.32
10,Super Mario Maker 2,32.29,2,9,,,,290.61
11,Animal Crossing,49.99,3,8,Subtract,1,48.99,391.92
12,Pokemon Sword ,60.0,1,1,,,,60.0
13,Cat Quest ,9.99,1,1,,,,9.99
14,Super Mario Maker 2,32.29,2,3,,,,96.87
15,Animal Crossing,49.99,3,2,Multiply,2,99.98,199.96
16,Animal Crossing,49.99,1,1,,,,49.99
17,Untitled Goose Game ,17.99,2,7,,,,125.92999999999999
18,Pokemon Shield ,60.0,3,7,Multiply,2,120.0,840.0
19,Pokemon Shield ,60.0,2,7,,,,420.0
20,Pokemon Shield ,60.0,1,1,,,,60.0
21,Mario Kart,49.99,3,7,Subtract,4,45.99,321.93
22,Pokemon Sword ,60.0,3,4,Add,3,63.0,252.0
23,Cat Quest ,9.99,2,5,,,,49.95
24,Untitled Goose Game ,17.99,2,2,,,,35.98
25,The Witcher III: The Wild Hunt,34.99,1,1,,,,34.99
26,The Witcher III: The Wild Hunt,34.99,3,8,Subtract,1,33.99,271.92
27,The Witcher III: The Wild Hunt,34.99,1,1,,,,34.99
28,Cat Quest ,9.99,2,2,,,,19.98
29,Cat Quest ,9.99,1,1,,,,9.99
30,Super Mario Maker 2,32.29,1,1,,,,32.29
31,Pokemon Shield ,60.0,2,2,,,,120.0
32,Pokemon Shield ,60.0,3,8,Add,1,61.0,488.0
33,Mario Kart,49.99,2,3,,,,149.97
34,Pokemon Sword ,60.0,3,9,Subtract,5,55.0,495.0
35,Animal Crossing,49.99,1,1,,,,49.99
36,Spyro Reignited Trilogy,34.99,2,9,,,,314.91
37,Untitled Goose Game ,17.99,3,8,Multiply,4,71.96,575.68
38,Mario Kart,49.99,1,1,,,,49.99
39,Hollow Knight,10.99,2,9,,,,98.91
40,Hollow Knight,10.99,1,1,,,,10.99
41,The Witcher III: The Wild Hunt,34.99,3,8,Subtract,4,30.99,247.92
42,Untitled Goose Game ,17.99,2,9,,,,161.91
43,Spyro Reignited Trilogy,34.99,2,5,,,,174.95000000000002
44,Spyro Reignited Trilogy,34.99,1,1,,,,34.99
45,Animal Crossing,49.99,2,9,,,,449.91
46,Spyro Reignited Trilogy,34.99,2,2,,,,69.98
47,Mario Kart,49.99,3,4,Multiply,2,99.98,399.92
48,Hollow Knight,10.99,1,1,,,,10.99
49,Super Mario Maker 2,32.29,3,7,Multiply,4,129.16,904.12
